Z1	Total Population
Z116	Population occupied that receive from 1 to 2 official salary rate
Z117	Population occupied that receive more than 2 to 5 official salary rate
Z118	Population occupied that receive more than 5 official salary rate
Z119	Total of habitated houses
Z120	Private houses occupied
Z121	Private houses with ceiling made with light materials
Z122	Private houses with ceiling made with concrete, blocks, etc.
Z123	Private houses with walls made with light material
Z124	Private houses with walls made with concrete, blocks, etc.
Z125	Private houses with floor made with cement, wood or other cover.
Z126	Private home with 1 room (can be 2 rooms if kitchen is use exclusive)
Z127	Private home from 2 to 5 rooms (without including kitchen)
Z128	Private home with 1 room
Z129	Private home from 2 to 5 rooms (including kitchen)
Z130	Private home with 1 bed room
Z131	Private home with 2 to 4 bed rooms
Z132	Private home with exclusive purposes kitchen
Z133	Private home with no exclusive purposes kitchen
Z134	Private homes that use gas to cook
Z135	Private homes with exclusive sanitary service
Z136	Private homes with sewer connected to the public network
Z137	 Private homes with sewer connected to a septic hole, river, lake, sea 
Z138	Private homes without sanitary service
Z139	Private homes with electricity service
Z140	Private homes with water service network connected to the building
Z141	Private homes with water service network connected to the parcel
Z142	Private homes that have water service from a public llave
Z143	Private homes with only sewer and water service
Z144	Private homes with only sewer and electricity service
Z145	Private homes with only water and electricity service
Z146	Private homes with Water, sewer and electricity service
Z147	Private homes without Water, sewer and electricity service
Z148	Private homes owned
Z149	Private homes paid
Z150	Private homes rented
Z151	Private homes that have radio or tape recorder
Z152	Private homes that have TV
Z153	Private homes that have VHS
Z154	Private homes with mixer
Z155	Private homes with refrigerator
Z156	Private homes with washer
Z157	Private homes with telephone
Z158	Private home with heater
Z159	Private homes with car
Z160	Private homes with computer
Z161	Private home with all equipment listed
Z162	Private home without equipment listed
Z163	Average of people per private house
Z164	Average of people per room per private house
Z165	Total of homes
Z166	Homes with a male head of household
Z167	Homes with a female head of household
Z168	Population that live at homes (not public)
Z169	Population in homes with a male head of household
Z170	Population in homes with a female head of household
NAME	Name of feature
NAME_ALT	Alternate feature name
FCC	Feature class code
FCC_ALT	Alternate feature class code
